data,ratio,CIlowerPercentile,CIupperPercentile,CIlowerBCa,CIupperBCa
BEST,4.06003656056779,3.54534032023362,4.64501536566751,3.54027056038799,4.63730425531725
GISTEMP,3.75403556287068,3.29668748886517,4.28210674194889,3.29317295839046,4.27734322103879
COWTAN,3.88042256419636,3.40708536390318,4.39866904422055,3.40623713810038,4.39751173384434
ERA5,3.77415478574342,3.26476664088213,4.40566221692003,3.25585429628773,4.39324515145351
