data,ratio,CIlowerPercentile,CIupperPercentile,CIlowerBCa,CIupperBCa
BEST,4.08363439489896,3.63304263346818,4.60695367568995,3.62985623611478,4.60238300315216
GISTEMP,3.79351495023714,3.38354639363284,4.24898044390295,3.3835253912441,4.24887423845143
HADCRUT,3.77805454023412,3.37142909017129,4.22261273854264,3.37600344739229,4.22861228037445
ERA5,3.69718946137668,3.24526280955339,4.2356869484743,3.23598000386248,4.22344239730789
