data,ratio,CIlowerPercentile,CIupperPercentile,CIlowerBCa,CIupperBCa
BEST,4.06003656056779,3.54663056462896,4.64077080857327,3.54551351114894,4.63956690445995
GISTEMP,3.75403556287068,3.29526333950896,4.28529253403394,3.29054904649728,4.28116075402507
COWTAN,3.88042256419636,3.40917660321446,4.39955544935816,3.40659550938092,4.39686009365699
ERA5,3.77415478574342,3.26648026802546,4.40697268889772,3.25657463812144,4.39150307289434
