data,ratio,CIlowerPercentile,CIupperPercentile,CIlowerBCa,CIupperBCa
BEST,2.55369815410907,2.21526283969617,2.87037802086683,2.21396753201888,2.86955394325749
GISTEMP,2.458428074152,2.12304228244871,2.7670478182772,2.10836478601453,2.75457613295547
HADCRUT,2.45234008073017,2.1389353783092,2.7391969284045,2.1325840989764,2.73385485562705
ERA5,3.08915175797963,2.79882942691268,3.38496874795223,2.79425859784571,3.38035485500615
