Year,BEST,GISTEMP,HADCRUT,ERA5
1950,-0.6190864199183965,-0.5490840413911025,-0.5720857078646574,-1.2397766
1951,-0.8313453452677837,-0.7331019672934977,-0.6671698030514079,-1.4010315
1952,-0.4722465578878948,-0.4618736415292361,-0.4267717153114813,-1.1241455
1953,-0.00046712462222975315,0.24392835420355063,0.10967096691562916,-0.7171631
1954,0.120323739857916,0.10412693614832635,0.09051580100755852,-0.58621216
1955,-0.9908048182018188,-1.0350921101684367,-0.9743082610301318,-1.7929688
1956,-0.6757583877822542,-0.6999864220240386,-0.6884745998450394,-1.0386353
1957,-0.8160264661884371,-0.7220511146963255,-0.7930095818413044,-1.3693237
1958,-0.9924861304709932,-0.9562438858775065,-0.9714634753072623,-1.5244446
1959,-0.29546338352184376,-0.28816998308721054,-0.2494845449540004,-0.6515503
1960,-0.35069143418878534,-0.4447864442855746,-0.3920060709664729,-0.85858154
1961,-0.9309517589674152,-0.9765303651043902,-0.9816142836519297,-1.5245667
1962,-0.36162747496208225,-0.41498852555448723,-0.4126424941008314,-1.0747375
1963,-1.252893884560126,-1.0671084548885603,-1.1393402370467909,-1.6217346
1964,-1.6607099194823163,-1.4786848208761407,-1.555715694743379,-1.8869019
1965,-1.0445890381042513,-1.051055201356113,-1.0574767482903304,-1.3927917
1966,-1.583291466969242,-1.5845044231177177,-1.5726101208816958,-2.020752
1967,-0.6140969371312399,-0.48299898805797137,-0.47051231094283275,-0.89056396
1968,-1.2078623681970233,-1.2098545439959103,-1.11603903724765,-1.5226135
1969,-0.960246238163617,-0.81229544031618,-0.8547937671150169,-1.0499268
1970,-1.1672700592793122,-1.0514599808732892,-1.0375077461260083,-1.2407837
1971,-0.858070471421328,-0.8997170994255405,-0.879206995844993,-1.1971436
1972,-1.0365898184419107,-1.0794896925195812,-1.0559226042597323,-1.1515503
1973,-0.7993774790976443,-0.7901132304989184,-0.7489619729227859,-0.81829834
1974,-1.0485938956266294,-0.9522733743577441,-1.068835279220484,-0.9243164
1975,-0.9625791346573885,-0.778553371415702,-0.8595454041436704,-1.12323
1976,-0.8489929995356488,-0.8554823474291753,-0.7982294413071507,-0.86880493
1977,-0.7779207542117285,-0.6901012629700293,-0.7124672171127155,-1.0178833
1978,-1.08171471574253,-1.039600801507789,-1.0032974674133461,-1.2023621
1979,-1.6023529786556816,-1.4639707114947096,-1.5976445384307922,-1.2643127
1980,-0.7039850278480291,-0.587278437923793,-0.5969871967500942,-0.5374756
1981,0.08706191548043152,0.20659437791111013,0.19268293269959957,0.15563965
1982,-1.299798674464868,-1.2270666999602489,-1.2168170555693554,-0.982605
1983,-0.8644709365106077,-0.6942603789255282,-0.7816627615415268,-0.61309814
1984,-0.5510569194119563,-0.381837413284304,-0.5852477258944705,-0.25421143
1985,-0.35986565082376143,-0.4055557398839377,-0.4178683576990144,-0.331604
1986,-1.0080336844045181,-0.8697456628372232,-0.9232664410453442,-0.80252075
1987,-1.3426419348042662,-1.232027119429219,-1.2363565768392792,-1.2793274
1988,-0.4671583931678327,-0.31602624368574345,-0.2650997078078945,-0.5140686
1989,-0.630262859437865,-0.5540185734406451,-0.5671804640104096,-0.5724182
1990,-0.13419471770409097,-0.21082123634025507,-0.09961619090221308,0.016845703
1991,-0.1506757548732397,-0.08952514094922015,-0.06299075822473033,-0.068573
1992,-1.1768186448263118,-1.0243001636868379,-1.0228864890459874,-0.9142456
1993,-0.3066369075096671,-0.30770975472628703,-0.2647473024082758,-0.5427246
1994,-0.6016400165698275,-0.4718154398184826,-0.5250789571989394,-0.68374634
1995,0.5554759324717045,0.4667047830281079,0.5371356906832929,0.49432373
1996,-0.040665484837645205,-0.007406231726435286,0.005014676785586314,0.08566284
1997,-0.2540824151376554,-0.11200747156348223,-0.1484158312212691,-0.2913208
1998,0.1618308772804904,0.05112213161952772,0.05356235063118242,-0.1638794
1999,-0.4048782214505624,-0.41153330777719715,-0.3491971660224308,-0.5357971
2000,0.21200833482729387,0.14406706820442516,0.14976864210040386,0.02557373
2001,0.24836092468081827,0.2379783816088148,0.2000523995487089,0.11608887
2002,0.49462660153739857,0.44214327308697676,0.46733265275864233,0.29956055
2003,0.48693852483127853,0.6337838762971246,0.5977340020111215,0.5036621
2004,-0.31001883910149874,-0.383610253445906,-0.29775305035509125,-0.15707397
2005,1.2569880036711227,1.2063236371007207,1.1680026654295383,1.2817993
2006,1.2718380315967672,1.0208343069013985,1.045154017062505,1.1217346
2007,1.585280924498167,1.3464178594948433,1.37424149427706,1.3977356
2008,0.8949821834603364,0.765662503309118,0.7861009964530674,0.90093994
2009,0.9114927594230893,0.6938623655777567,0.6662839347813991,0.8450928
2010,1.7360150412772772,1.4837722673410332,1.5211183805641235,1.4629517
2011,1.8198039561906012,1.6387386355516498,1.6277380931020942,1.5724182
2012,1.9411516052993587,1.575299217547195,1.505817419299084,1.8044739
2013,0.7200545502065407,0.7693313319325539,0.650937356945279,0.7241516
2014,1.3011844536789403,1.2797073819681366,1.2656466385282739,1.2930298
2015,1.2712725636798137,1.2312908954748256,1.27296726740462,1.114563
2016,2.8368957444764176,2.576526585307093,2.46832806841722,2.6600647
2017,1.900258132013355,1.7576665694039362,1.6859439776890828,1.7932129
2018,1.6496801179620184,1.4076854554317715,1.4206258686365605,1.6535645
2019,1.9961832537152238,1.9306779704174069,1.9507209915216912,1.7756653
2020,2.137618230821045,2.1653245697685506,2.1421243900034215,2.1727295
2021,1.2850602874991615,1.3498947338871174,1.28913818330603,1.1159973
