data,ratio,CIlowerPercentile,CIupperPercentile,CIlowerBCa,CIupperBCa
BEST,4.21662617427799,3.66063016761724,4.81584970050617,3.65812731604387,4.8137313623073
GISTEMP,3.89993462539905,3.39059380577335,4.46180824066762,3.3924083769625,4.4637545988194
COWTAN,3.98223135139532,3.46376723258193,4.51893984228169,3.4668388140445,4.52192202165292
ERA5,3.95161325133306,3.39813317015377,4.58854857343296,3.39504401885784,4.58430394165993
